document,title,category
 dirac functional determinants in terms of the eta invariant and the noncommutative residue  the zeta and eta functions associated with massless and massive dirac operators in a d dimensional d odd or even manifold without boundary are rigorously constructed several mathematical subtleties involved in this process are stressed as the intrisic ambiguity present in the definition of the associated fermion functional determinant in the massless case and also  the unavoidable presence in some situations of a multiplicative anomaly that can be conveniently expressed in terms of the noncommutative residue the ambiguity is here seen to disappear in the massive case giving rise to a phase of the dirac determinant  that agrees with very recent calculations appeared in the mathematical literature  and to a multiplicative anomaly  also in agreement with other calculations in the coinciding situations after explicit nontrivial resummation of the mass series expansions involving zeta and eta functions the results are expressed in terms of quite simple formulas , dirac functional determinants in terms of the eta invariant and the noncommutative residue ,"Mathematical Physics, Differential"
 affine sl 2 1 and d 2 1 alpha as vertex operator extensions of dual affine sl 2 algebras we discover a realisation of the affine lie superalgebra sl 2 1 and of the exceptional affine superalgebra d 2 1 alpha as vertex operator extensions of two affine sl 2 algebras with dual levels and an auxiliary level 1 sl 2  algebra  the duality relation between the levels is k 1 k 1 1 we construct the representation of sl 2 1 at level k on a sum of tensor products of sl 2 at level k sl 2 at level k and sl 2 at level 1 modules and decompose it into a direct sum over the sl 2 1 spectral flow orbit this decomposition gives rise to character identities which we also derive the extension of the construction to the affine d 2 1 k  at level k is traced to properties of sl 2 sl 2 sl 2 embeddings into d 2 1 alpha and their relation with the dual sl 2 pairs conversely we show how the level k sl 2  representations are constructed from level k sl 2 1 representations , affine sl 2 1 and d 2 1 alpha as vertex operator extensions of dual affine sl 2 algebras,Representation Theory
 looking beyond the thermal horizon hidden symmetries in chiral models in thermal states of chiral theories as recently investigated by h j  borchers and j yngvason there exists a rich group of hidden symmetries here we show that this leads to a radical converse of of the hawking unruh observation in the following sense the algebraic commutant of the algebra associated with a heat bath thermal chiral system can be used to reprocess the thermal system into a ground state system on a larger algebra with a larger localization space time this happens in such a way that the original system appears as a kind of generalized unruh restriction of the ground state sytem and the thermal commutant as being transmutated into newly created  virgin space time region  behind a horizon the related concepts of a  chiral conformal core  and the possibility of a  blow up  of the latter suggest interesting ideas on localization of degrees of freedom with possible repercussion on how to define quantum entropy of localized matter content in local quantum physics , looking beyond the thermal horizon hidden symmetries in chiral models,Mathematical Physics
 vertex operators semiclassical limit for soliton s matrices and the number of bound states in affine toda field theories  soliton time delays and the semiclassical limit for soliton s matrices are calculated for non simply laced affine toda field theories the phase shift is written as a sum over bilinears on the soliton conserved charges the results apply to any two solitons of any affine toda field theory as a by product a general expression for the number of bound states and the values of the coupling in which the s matrix can be diagonal are obtained in order to arrive at these results a vertex operator is constructed in the principal gradation  for non simply laced affine lie algebras extending the previous constructions for simply laced and twisted affine lie algebras , vertex operators semiclassical limit for soliton s matrices and the number of bound states in affine toda field theories ,"Quantum Algebra, Exactly Solvable and"
 recursive graphical construction of feynman diagrams in phi 4 theory asymmetric case and effective energy the free energy of a multi component scalar field theory is considered as a functional w g j of the free correlation function g and an external current j  it obeys non linear functional differential equations which are turned into recursion relations for the connected greens functions in a loop expansion  these relations amount to a simple proof that w g j generates only connected graphs and can be used to find all such graphs with their combinatoric weights  a legendre transformation with respect to the external current converts the functional differential equations for the free energy into those for the effective energy gamma g phi  which is considered as a functional of the free correlation function g and the field expectation phi these equations are turned into recursion relations for the one particle irreducible greens functions these relations amount to a simple proof that gamma g j generates only one particle irreducible graphs and can be used to find all such graphs with their combinatoric weights the techniques used also allow for a systematic investigation into resummations of classes of graphs examples are given for resumming one loop and multi loop tadpoles both through all orders of perturbation theory since the functional differential equations derived are non perturbative they constitute also a convenient starting point for other expansions than those in numbers of loops or powers of coupling constants we work with general interactions through four powers in the field , recursive graphical construction of feynman diagrams in phi 4 theory asymmetric case and effective energy,Statistical Mechanics
 calculating the infrared central charges for perturbed minimal models improving the rg perturbation e illustrate a method for improving renormalisation group improved perturbation theory by calculating the infrared central charge of a perturbed conformal field theory the additional input is a dispersion relation that exploits analyticity of the energy momentum tensor correlator, calculating the infrared central charges for perturbed minimal models improving the rg perturbation,Statistical Mechanics
 critical amplitudes and mass spectrum of the 2d ising model in a magnetic field we compute the spectrum and several critical amplitudes of the two dimensional ising model in a magnetic field with the transfer matrix method  the three lightest masses and their overlaps with the spin and the energy operators are computed on lattices of a width up to l 21 in extracting the continuum results we also take into account the corrections to scaling due to irrelevant operators in contrast with previous monte carlo simulations our final results are in perfect agreement with the predictions of s matrix and conformal field theory we also obtain the amplitudes of some of the subleading corrections for which no s matrix prediction has yet been obtained , critical amplitudes and mass spectrum of the 2d ising model in a magnetic field,Statistical Mechanics
 topology of non topological chern simons vortices the quantized magnetic flux  phi 4 pi n sk n 0 pm1   of non topological vortices in the non relativistic chern simons theory is related to the topological degree of the s 2 to s 2 mapping defined by lifting the problem to the riemann spheres regular solutions with finite degree only arise for rational functions whose topological degree  n  is the commun number of their zeros and poles on the riemann sphere also called their algebraic order , topology of non topological chern simons vortices,Mathematical Physics
 determinant formula for the topological n 2 superconformal algebra  the kac determinant for the topological n 2 superconformal algebra is presented as well as a detailed analysis of the singular vectors detected by the roots of the determinants in addition we identify the standard verma modules containing no label singular vectors which are not detected directly by the roots of the determinants  we show that in standard verma modules there are at least four different types of submodules regarding size and shape we also review the chiral determinant formula for chiral verma modules adding new insights finally we transfer the results obtained to the verma modules and singular vectors of the ramond n 2 algebra which have been very poorly studied so far this work clarifies several misconceptions and confusing claims appeared in the literature about the singular vectors verma modules and submodules of the topological n 2 superconformal algebra , determinant formula for the topological n 2 superconformal algebra ,"Mathematical Physics, Quantum"
 landau siegel zeroes and black hole entropy here has been some speculation about relations of d brane models of black holes to arithmetic in this note we point out that some of these speculations have implications for a circle of questions related to the generalized riemann hypothesis on the zeroes of dirichlet l functions, landau siegel zeroes and black hole entropy,Number Theory
 backlund transformations in 10d susy yang mills theories  this is a continuation of hep th 9811108 hep th 9903218 hep th 9910235 on exact integration technics for modified dynamical equations in ten dimensional supersymmetric gauge theory a b  acklund transformation is derived for the yang type super equations previously derived hep th 9811108 by m saveliev and the author from the ten dimensional super yang mills field equations in an on shell light cone gauge it is shown to be based upon a particular gauge transformation satisfying nonlinear conditions which ensure that the particular form of the equations is retained these yang type field equations are shown to be precisely such that they automatically provide a solution of these conditions this b  acklund transformation is similar to the one proposed by a  lesnov for self dual yang mills in four dimensions in the introduction a personal recollection on the birth of supersymmetry is given , backlund transformations in 10d susy yang mills theories ,"Mathematical Physics, Exactly"
 on the chiral wznw phase space exchange r matrices and poisson lie groupoids  this is a review of recent work on the chiral extensions of the wznw phase space describing both the extensions based on fields with generic monodromy as well as those using bloch waves with diagonal monodromy the symplectic form on the extended phase space is inverted in both cases and the chiral wznw fields are found to satisfy quadratic poisson bracket relations characterized by monodromy dependent exchange r matrices explicit expressions for the exchange r matrices in terms of the arbitrary monodromy dependent 2 form appearing in the chiral wznw symplectic form are given the exchange r matrices in the general case are shown to satisfy a new dynamical generalization of the classical modified yang baxter yb equation and poisson lie pl groupoids are constructed that encode this equation analogously as pl groups encode the classical yb equation for an arbitrary simple lie group g  exchange r matrices are exhibited that are in one to one correspondence with the possible pl structures on g and admit them as pl symmetries , on the chiral wznw phase space exchange r matrices and poisson lie groupoids ,Mathematical Physics
 chiral extensions of the wznw phase space poisson lie symmetries and groupoids  the chiral wznw symplectic form  omega  rho  chir  is inverted in the general case thereby a precise relationship between the arbitrary monodromy dependent 2 form appearing in  omega  rho  chir  and the exchange r matrix that governs the poisson brackets of the group valued chiral fields is established the exchange r matrices are shown to satisfy a new dynamical generalization of the classical modified yang baxter yb equation and poisson lie pl groupoids are constructed that encode this equation analogously as pl groups encode the classical yb equation for an arbitrary simple lie group g exchange r matrices are found that are in one to one correspondence with the possible pl structures on g and admit them as pl symmetries , chiral extensions of the wznw phase space poisson lie symmetries and groupoids ,"Mathematical Physics, Quantum Algebra"
 sigma models as perturbed conformal field theories we show that two dimensional sigma models are equivalent to certain perturbed conformal field theories when the fields in the sigma model take values in a space g h for a group g and a maximal subgroup h the corresponding conformal field theory is the k to infty limit of the coset model  g h k  and the perturbation is related to the current of g this correspondence allows us for example to find the free energy for the  o n   o n o n 1  sigma model at non zero temperature it also results in a new approach to the cp n model , sigma models as perturbed conformal field theories,Statistical Mechanics
 what good are quantum field theory infinities  a lesson for the new millennium from quantum field theory not all field theoretic infinities are bad some give rise to finite symmetry breaking effects whose consequences are observed in nature , what good are quantum field theory infinities ,History of Physics
 a condensation of interacting bosons in two dimensional space  we develop a theory of non relativistic bosons in two spatial dimensions with a weak short range attractive interaction in the limit as the range of the interaction becomes small there is an ultra violet divergence in the problem  we devise a scheme to remove this divergence and produce a completely finite formulation of the theory this involves reformulating the dynamics in terms of a new operator whose eigenvalues give the  it logarithm of the energy levels  then a mean field theory is developed which allows us to describe the limit of a large number of bosons the ground state is a new kind of condensate  soliton of bosons that breaks translation invariance spontaneously the ground state energy is negative and its magnitude grows  it exponentially  with the number of particles rather than like a power law as for conventional many body systems , a condensation of interacting bosons in two dimensional space ,"Statistical Mechanics, Optics"
 topological quantum field theories  a meeting ground for physicists and mathematicians topological quantum field theories can be used as a powerful tool to probe geometry and topology in low dimensions chern simons theories which are examples of such field theories provide a field theoretic framework for the study of knots and links in three dimensions these are rare examples of quantum field theories which can be exactly non perturbatively and explicitly solved abelian chern simons theory provides a field theoretic interpretation of the linking and self linking numbers of a link in non abelian theories  vacuum expectation values of wilson link operators yield a class of polynomial link invariants the simplest of them is the famous jones polynomial other invariants obtained are more powerful than that of jones powerful methods for completely analytical and non perturbative computation of these knot and link invariants have been developed in the process answers to some of the open problems in knot theory are obtained from these invariants for unoriented and framed links in s 3  an invariant for any three manifold can be easily constructed by exploiting the lickorish wallace surgery presentation of three manifolds this invariant up to a normalization is the partition function of the chern simons field theory even perturbative analysis of the chern simons theories are rich in their mathematical structure these provide a field theoretic interpretation of vassiliev knot invariants not only in mathematics chern simons theories find important applications in three and four dimensional quantum gravity also , topological quantum field theories  a meeting ground for physicists and mathematicians,Mathematical Physics
 equivalence principle higher dimensional moebius group and the hidden antisymmetric tensor of quantum mechanics  we show that the recently formulated equivalence principle ep implies a basic cocycle condition both in euclidean and minkowski spaces which holds in any dimension this condition that in one dimension is sufficient to fix the schwarzian equation 6  implies a fundamental higher dimensional moebius invariance which in turn univocally fixes the quantum version of the hamilton jacobi equation this holds also in the relativistic case so that we obtain both the time dependent schroedinger equation and the klein gordon equation in any dimension we then show that the ep implies that masses are related by maps induced by the coordinate transformations connecting different physical systems furthermore we show that the minimal coupling prescription  and therefore gauge invariance arises quite naturally in implementing the ep  finally we show that there is an antisymmetric two tensor which underlies quantum mechanics and sheds new light on the nature of the quantum hamilton jacobi equation , equivalence principle higher dimensional moebius group and the hidden antisymmetric tensor of quantum mechanics ,"Mathematical Physics, Analysis of"
 field theories of topological random walks  in this work we derive certain topological theories of transverse vector fields whose amplitudes reproduce topological invariants involving the interactions among the trajectories of three and four random walks this result is applied to the construction of a field theoretical model which describes the statistical mechanics of an arbitrary number of topologically linked polymers in the context of the analytical approach of edwards with respect to previous attempts our approach is very general as it can treat a system involving an arbitrary number of polymers and the topological states are not only specified by the gauss linking number but also by higher order topological invariants , field theories of topological random walks ,"Soft Condensed Matter, Mathematical"
 geometrical approach to feynman integrals and the epsilon expansion pplication of the geometrically inspired representations to the epsilon expansion of the two point function with different masses is considered explicit result for an arbitrary term of the expansion is obtained in terms of log sine integrals construction of the epsilon expansion in the three point case is also discussed, geometrical approach to feynman integrals and the epsilon expansion,Mathematical Physics
 generalized abelian coset conformal field theories  the reductions of conformal field theories which lead to generalized abelian cosets are studied primary fields and correlation functions of arbitrary abelian coset conformal field theory are explicitly expressed in terms of those of the original theory the coset theory has global abelian symmetry, generalized abelian coset conformal field theories ,"Statistical Mechanics, Quantum"
 the geometry of branes and extended superspaces we argue that a description of supersymmetric extended objects from a unified geometric point of view requires an enlargement of superspace to this aim we study in a systematic way how superspace groups and algebras arise from grassmann spinors when these are assumed to be the only primary entities in the process we recover generalized spacetime superalgebras and extensions of supersymmetry found earlier the enlargement of ordinary superspace with new parameters gives rise to extended superspace groups on which manifestly supersymmetric actions may be constructed for various types of p branes  including d branes given by chevalley eilenberg cocycles with their born infeld fields this results in a field extended superspace democracy for superbranes all brane fields appear as pull backs from a suitable target superspace our approach also clarifies some facts concerning the origin of the central charges for the different p branes , the geometry of branes and extended superspaces,Mathematical Physics
 non local conservation laws and flow equations for supersymmetric integrable hierarchies an infinite series of grassmann odd and grassmann even flow equations is defined for a class of supersymmetric integrable hierarchies associated with loop superalgebras all these flows commute with the mutually commuting bosonic ones originally considered to define these hierarchies and hence provide extra fermionic and bosonic symmetries that include the built in n 1 supersymmetry transformation the corresponding non local conserved quantities are also constructed as an example the particular case of the principal supersymmetric hierarchies associated with the affine superalgebras with a fermionic simple root system is discussed in detail , non local conservation laws and flow equations for supersymmetric integrable hierarchies,Exactly Solvable and Integrable
 chern simons gauge theory ten years after a brief review on the progress made in the study of chern simons gauge theory since its relation to knot theory was discovered ten years ago is presented  emphasis is made on the analysis of the perturbative study of the theory and its connection to the theory of vassiliev invariants it is described how the study of the quantum field theory for three different gauge fixings leads to three different representations for vassiliev invariants two of these gauge fixings lead to well known representations the covariant landau gauge corresponds to the configuration space integrals while the non covariant light cone gauge to the kontsevich integral the progress made in the analysis of the third gauge fixing the non covariant temporal gauge is described in detail in this case one obtains combinatorial expressions instead of integral ones for vassiliev invariants the approach based on this last gauge fixing seems very promising to obtain a full combinatorial formula we collect the combinatorial expressions for all the vassiliev invariants up to order four which have been obtained in this approach , chern simons gauge theory ten years after,Geometric Topology
 formulas for a n and b n solutions of wdvv equations  the simplest non trivial solutions of wdvv equations are a n and b n potentials which describe metrics of k saito on spaces of versal deformation of a n and b n singularities these are some polynomials which were known for n leqslant 4 we find some recurrence relations which give a possibility to find all a n and b n potentials in passing we give recurrence formulas for coefficients of dispersionless kp hierarchy , formulas for a n and b n solutions of wdvv equations ,"Mathematical Physics, Differential"
 on the concept of determinant for the differential operators of quantum physics  the concept of determinant for a linear operator in an infinite dimensional space is addressed by using the derivative of the operator s zeta function  following ray and singer and eventually through its zeta function trace a little play with operators as simple as  pm i  i being the identity operator and variations thereof shows that the presence of a non commutative anomaly i e  the fact that det  ab  neq det a det b  is unavoidable  even for commuting and remarkably also for almost constant operators in the case of dirac type operators similarly basic arguments lead to the conclusion   contradicting common lore  that in spite of being  det  slash d im   det  slash d im  as follows from the symmetry condition of the  slash d spectrum  it turns out that these determinants may  it not be equal to  sqrt det  slash d 2 m 2   simply because  det  slash d im  slash d  im  neq det  slash d im  det  slash d im  a proof of this fact is given by way of a very simple example using operators with an harmonic oscillator spectrum and fulfilling the symmetry condition this anomaly can be physically relevant if in addition to a mass term or instead of it  a chemical potential contribution is added to the dirac operator , on the concept of determinant for the differential operators of quantum physics ,"Mathematical Physics, Spectral"
 fractons and fractal statistics fractons are anyons classified into equivalence classes and they obey a specific fractal statistics the equivalence classes are labeled by a fractal parameter or hausdorff dimension h  we consider this approach in the context of the fractional quantum hall effect fqhe and the concept of duality between such classes defined by  tilde h 3 h shows us that the filling factors for which the fqhe were observed just appear into these classes a connection between equivalence classes h and the modular group for the quantum phase transitions of the fqhe is also obtained a  beta function is defined for a complex conductivity which embodies the classes h  the thermodynamics is also considered for a gas of fractons  h nu  with a constant density of states and an exact equation of state is obtained at low temperature and low density limits we also prove that the farey sequences for rational numbers can be expressed in terms of the equivalence classes h , fractons and fractal statistics,Chaotic Dynamics
 superconformal algebras on the boundary of ads 3 ee hep th 000218, superconformal algebras on the boundary of ads 3,Quantum Algebra
 toroidal solitons in 3 1 dimensional integrable theories  we analyze the integrability properties of models defined on the symmetric space su 2 u 1 in 3 1 dimensions using a recently proposed approach for integrable theories in any dimension we point out the key ingredients for a theory to possess an infinite number of local conservation laws and discuss classes of models with such property we propose a 3 1 dimensional  relativistic invariant field theory possessing a toroidal soliton solution carrying a unit of topological charge given by the hopf map construction of the action is guided by the requirement that the energy of static configuration should be scale invariant the solution is constructed exactly the model possesses an infinite number of local conserved currents the method is also applied to the skyrme faddeev model and integrable submodels are proposed , toroidal solitons in 3 1 dimensional integrable theories ,"Mathematical Physics, Exactly"
 pure spinor formalism for conformal fermion and conserved currents ure spinor formalism and non integrable exponential factors are used for constructing the conformal invariant wave equation and lagrangian density for massive fermion it is proved that canonical dirac lagrangian for massive fermion is invariant under induced projective conformal transformations, pure spinor formalism for conformal fermion and conserved currents,Mathematical Physics
 the second law of thermodynamics tcp and einstein causality in anti de sitter space time  if the vacuum is passive for uniformly accelerated observers in anti de sitter space time i e cannot be used by them to operate a  perpetuum mobile   they will a register a universal value of the hawking unruh temperature  b discover a tcp symmetry and c find that observables in complementary wedge shaped regions are commensurable local in the vacuum state these results are model independent and hold in any theory which is compatible with some weak notion of space time localization , the second law of thermodynamics tcp and einstein causality in anti de sitter space time ,Mathematical Physics
 quantum gravitodynamics the infinite dimensional generalization of the quantum mechanics of extended objects namely the quantum field theory of extended objects is employed to address the hitherto nonrenormalizable gravitational interaction following which the cosmological constant problem is addressed the response of an electron to a weak gravitational field linear approximation is studied and the order  alpha correction to the magnetic gravitational moment is computed , quantum gravitodynamics,Mathematical Physics
 dyons and interactions in nonlinear born infeld electrodynamics  born infeld nonlinear electrodynamics with point singularities having both electric and magnetic charges are considered problem of interaction between the associated soliton dyon solutions is investigated for the case of long range interaction at first order by a small field of distant solitons we obtain that the generalized lorentz force is acted on a dyon under consideration short range interaction between two dyons having identical electric and opposite magnetic charges is investigated for an initial approximation we consider the case when the velocities of the dyons have equal modules and opposite directions on a common line it is shown that the associated field configuration has a constant full angular momentum which is independent of the interdyonic distance and their speed this property permits a consideration of this bidyon configuration as an electromagnetic model of charged particle with spin we numerically investigate movement of the dyons in this configuration for the case when the full electric charge equals the electron charge and the full angular momentum equals the electron spin it is shown that for this case the absolute value of relation between electric and magnetic charges of the dyons equals the fine structure constant the calculation gives that the bidyon may behave as nonlinear oscillator  associated dependence of frequency on the full energy is obtained for the initial approximation in the limits of the electrodynamic model we obtain that the quick oscillating wave packet may behave like massive gravitating particle when it move in high background field we discuss the possible electrodynamic world with the oscillating bidyons as particles, dyons and interactions in nonlinear born infeld electrodynamics ,"Mathematical Physics, Pattern"
 whitham deformations and tau functions in n  2 supersymmetric gauge theories  we review new aspects of integrable systems discovered recently in n 2 supersymmetric gauge theories and their topologically twisted versions the main topics are i an explicit construction of whitham deformations of the seiberg witten curves for classical gauge groups  ii its application to contact terms in the u plane integral of topologically twisted theories and  iii a connection between the tau functions and the blowup formula in topologically twisted theories , whitham deformations and tau functions in n  2 supersymmetric gauge theories ,"Algebraic Geometry, Exactly Solvable"
 non abelian stokes theorem and quark confinement in su 3 yang mills gauge theory we derive a new version of su 3 non abelian stokes theorem by making use of the coherent state representation on the coset space su 3  u 1 times u 1  f 2  the flag space then we outline a derivation of the area law of the wilson loop in su 3 yang mills theory in the maximal abelian gauge the detailed exposition will be given in a forthcoming article  this derivation is performed by combining the non abelian stokes theorem with the reformulation of the yang mills theory as a perturbative deformation of a topological field theory recently proposed by one of the authors within this framework we show that the fundamental quark is confined even if g su 3  is broken by partial gauge fixing into h u 2  just as g is broken to h u 1  times u 1  an origin of the area law is related to the geometric phase of the wilczek zee holonomy for u 2  abelian dominance is an immediate byproduct of these results and magnetic monopole plays the dominant role in this derivation , non abelian stokes theorem and quark confinement in su 3 yang mills gauge theory,Mathematical Physics
 the character of the exceptional series of representations of su 1 1  the character of the exceptional series of representations of su 1 1 is determined by using bargmann s realization of the representation in the hilbert space h sigma of functions defined on the unit circle the construction of the integral kernel of the group ring turns out to be especially involved because of the non local metric appearing in the scalar product with respect to which the representations are unitary since the non local metric disappears in the momentum space  i e  in the space of the fourier coefficients the integral kernel is constructed in the momentum space which is transformed back to yield the integral kernel of the group ring in h sigma  the rest of the procedure is parallel to that for the principal series treated in a previous paper the main advantage of this method is that the entire analysis can be carried out within the canonical framework of bargmann , the character of the exceptional series of representations of su 1 1 ,Mathematical Physics
 casimir effect the classical limit we analyze the high temperature or classical limit of the casimir effect a useful quantity which arises naturally in our discussion is the  relative casimir energy  which we define for a configuration of disjoint conducting boundaries of arbitrary shapes as the difference of casimir energies between the given configuration and a configuration with the same boundaries infinitely far apart using path integration techniques we show that the relative casimir energy vanishes exponentially fast in temperature this is consistent with a simple physical argument based on kirchhoff s law as a result the  relative casimir entropy  which we define in an obviously analogous manner tends in the classical limit to a finite asymptotic value which depends only on the geometry of the boundaries thus the casimir force between disjoint pieces of the boundary in the classical limit is entropy driven and is governed by a dimensionless number characterizing the geometry of the cavity contributions to the casimir thermodynamical quantities due to each individual connected component of the boundary exhibit logarithmic deviations in temperature from the behavior just described these logarithmic deviations seem to arise due to our difficulty to separate the casimir energy and the other thermodynamical quantities from the  electromagnetic  self energy of each of the connected components of the boundary in a well defined manner our approach to the casimir effect is not to impose sharp boundary conditions on the fluctuating field but rather take into consideration its interaction with the plasma of  charge carriers  in the boundary with the plasma frequency playing the role of a physical uv cutoff this also allows us to analyze deviations from a perfect conductor behavior , casimir effect the classical limit,Statistical Mechanics
 a new look at the schouten nijenhuis fr  olicher nijenhuis and nijenhuis richardson brackets for symplectic spaces  in this paper we re express the schouten nijenhuis the fr  olicher nijenhuis and the nijenhuis richardson brackets on a symplectic space using the extended poisson brackets structure present in the path integral formulation of classical mechanics , a new look at the schouten nijenhuis fr  olicher nijenhuis and nijenhuis richardson brackets for symplectic spaces ,Symplectic Geometry
 quantum field theory of topological defects as inhomogeneous condensates in the framework of the closed time path formalism we show how topological defects may arise in quantum field theory as result of a localized  inhomogeneous condensation of particles we demonstrate our approach on two examples kinks in the 2d lambda psi 4  theory both at zero and finite temperature and vortices in the complex 4d lambda psi 4  theory , quantum field theory of topological defects as inhomogeneous condensates,Exactly Solvable and Integrable
 calogero moser models iv limits to toda theory  calogero moser models and toda models are well known integrable multi particle dynamical systems based on root systems associated with lie algebras the relation between these two types of integrable models is investigated at the levels of the hamiltonians and the lax pairs the lax pairs of calogero moser models are specified by the representations of the reflection groups which are not the same as those of the corresponding lie algebras the latter specify the lax pairs of toda models the hamiltonians of the elliptic calogero moser models tend to those of toda models as one of the periods of the elliptic function goes to infinity provided the dynamical variables are properly shifted and the coupling constants are scaled on the other hand most of calogero moser lax pairs for example the root type lax pairs do not a have consistent toda model limit the minimal type lax pairs  which corresponds to the minimal representations of the lie algebras tend to the lax pairs of the corresponding toda models , calogero moser models iv limits to toda theory ,"Mathematical Physics, Exactly"
 replica deformation of the su 2 invariant thirring model via solutions of the qkz equation he response of an integrable qft under variation of the unruh temperature has recently been shown to be computable from an s matrix preserving  replica  deformation of the form factor approach we show that replica deformed form factors of the su 2 invariant thirring model can be found among the solutions of the rational sl 2 type quantum knizhnik zamolodchikov equation at generic level we show that modulo conserved charge solutions the deformed form factors are in one to one correspondence to the ones at level zero and use this to conjecture the deformed form factors of the noether current in our model, replica deformation of the su 2 invariant thirring model via solutions of the qkz equation,Quantum Algebra
 quantum electrodynamics with the pauli term he quantum field theory of extended objects is employed to address the hitherto nonrenormalizable pauli interaction this is achieved by quantizing the dirac field using the infinite dimensional generalization of the extended object formulation the order  alpha contribution to the anomalous magnetic moment of the electron and of the muon arising from the pauli term is calculated, quantum electrodynamics with the pauli term,Mathematical Physics
 calogero moser models v supersymmetry and quantum lax pair  it is shown that the calogero moser models based on all root systems of the finite reflection groups both the crystallographic and non crystallographic cases with the rational with without a harmonic confining potential  trigonometric and hyperbolic potentials can be simply supersymmetrised in terms of superpotentials there is a universal formula for the supersymmetric ground state wavefunction since the bosonic part of each supersymmetric model is the usual quantum calogero moser model this gives a universal formula for its ground state wavefunction and energy which is determined purely algebraically  quantum lax pair operators and conserved quantities for all the above calogero moser models are established , calogero moser models v supersymmetry and quantum lax pair ,"Mathematical Physics, Exactly"
 magnetic confinement in qcd we present a strong evidence for the magnetic confinement in qcd by demonstrating that the one loop effective action of su 2 qcd induces a dynamical symmetry breaking thorugh the monopole condensation which could induce the dual meissner effect and guarantee the confinement of color in the non abelian gauge theory the result is obtained by separating the topological degrees which describes the non abelian monopoles from the dynamical degrees of the potential and integrating out all the dynamical degrees of qcd , magnetic confinement in qcd,Mathematical Physics
 solution of the quantum inverse problem  we derive a formula that expresses the local spin and field operators of fundamental graded models in terms of the elements of the monodromy matrix  this formula is a quantum analogue of the classical inverse scattering transform it applies to fundamental spin chains such as the xyz chain and to a number of important exactly solvable models of strongly correlated electrons  such as the supersymmetric t j model or the the eks model , solution of the quantum inverse problem ,"Mathematical Physics, Quantum"
 generalization of calabi yau landau ginzburg correspondence we discuss a possible generalization of the calabi yau landau ginzburg correspondence to a more general class of manifolds specifically we consider the fermat type hypersurfaces m n k   sum i 1 n x i k 0 in  bf cp  n 1  for various values of k and n when k n the 1 loop beta function of the sigma model on m n k is negative and we expect the theory to have a mass gap however the quantum cohomology relation  sigma n 1  const  sigma k 1  suggests that in addition to the massive vacua there exists a remaining massless sector in the theory if k 2 we assume that this massless sector is described by a landau ginzburg lg theory of central charge c 3n 1 2 k  with n chiral fields with u 1 charge 1 k  we compute the topological invariants elliptic genera using lg theory and massive vacua and compare them with the geometrical data we find that the results agree if and only if k even and n even   these are the cases when the hypersurfaces have a spin structure thus we find an evidence for the geometry lg correspondence in the case of spin manifolds , generalization of calabi yau landau ginzburg correspondence,Algebraic Geometry
 on the duffin kemmer petiau formulation of the covariant hamiltonian dynamics in field theory we show that the de donder weyl dw covariant hamiltonian field equations of any field can be written in duffin kemmer petiau dkp matrix form as a consequence the modified dkp beta matrices 5 x 5 in four space time dimensions are of universal significance for all fields admitting the dw hamiltonian formulation not only for a scalar field and can be viewed as field theoretic analogues of the symplectic matrix leading to the so called  k symplectic  k 4 structure we also briefly discuss what could be viewed as the covariant poisson bracket given by beta matrices and the corresponding poisson bracket formulation of dw hamiltonian field equations , on the duffin kemmer petiau formulation of the covariant hamiltonian dynamics in field theory,Mathematical Physics
 equivalence of the sutherland model to free particles on a circle  a method is developed to construct the solutions of one and many variable  linear differential equations of arbitrary order using this the n particle sutherland model with pair wise inverse sine square interactions among the particles is shown to be equivalent to free particles on a circle  applicability of our method to many other few and many body problems is also illustrated , equivalence of the sutherland model to free particles on a circle ,"Mathematical Physics, Exactly"
 exact spectrum and partition function of su m n supersymmetric polychronakos model  by using the fact that polychronakos like models can be obtained through the  freezing limit of related spin calogero models we calculate the exact spectrum as well as partition function of su m n supersymmetric polychronakos  sp model it turns out that similar to the non supersymmetric case the spectrum of su m n sp model is also equally spaced however the degeneracy factors of corresponding energy levels crucially depend on the values of bosonic degrees of freedom m and fermionic degrees of freedom n  as a result the partition functions of sp models are expressed through some novel q polynomials finally by interchanging the bosonic and fermionic degrees of freedom we obtain a duality relation among the partition functions of sp models , exact spectrum and partition function of su m n supersymmetric polychronakos model ,"Statistical Mechanics, Exactly"
 space time symmetry transformations of elementary particles realized in optics laboratories the second order differential equation describes harmonic oscillators as well as currents in lcr circuits this allows us to study oscillator systems by constructing electronic circuits likewise one set of closed commutation relations can generate group representations applicable to different branches of physics it is pointed out that polarization optics can be formulated in terms of the six parameter lorentz group this allows us to construct optical instruments corresponding to the subgroups of the lorentz groups it is shown possible to produce combinations of optical filters that exhibit transformations corresponding to wigner rotations and iwasawa decompositions  which are manifestations of the internal space time symmetries of massive and massless particles , space time symmetry transformations of elementary particles realized in optics laboratories,Mathematical Physics
